City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Deputatskiy,RU,69.3,139.9,-30.03,98,96,3.15,overcast clouds
304,Nantucket,US,41.2835,-70.0995,44.71,70,0,13.8,clear sky
305,Asfi,MA,32.2994,-9.2372,62.51,80,0,10.13,clear sky
306,Arawa,PG,-6.2132,155.5367,84.45,72,100,2.39,light rain
307,Pandan,PH,14.0453,124.1694,83.77,79,60,11.65,broken clouds
308,Synya,RU,65.3718,58.0387,-10.7,100,82,1.3,broken clouds
309,Hervey Bay,AU,-25.2986,152.8535,78.44,50,97,13.67,overcast clouds
310,Haimen,CN,23.1935,116.6142,67.89,81,100,17.81,overcast clouds
311,Sur,OM,22.5667,59.5289,79.59,48,74,5.03,broken clouds
312,Ploemeur,FR,47.7333,-3.4333,55.81,81,75,14.97,broken clouds
313,Buchanan,LR,5.8808,-10.0467,77.32,85,99,3.15,overcast clouds
314,Carutapera,BR,-1.195,-46.02,77.4,86,56,6.62,broken clouds
315,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,22,0,20.71,clear sky
316,San Quintin,MX,30.4833,-115.95,59.72,66,0,6.82,clear sky
317,Durango,MX,24.8333,-104.8333,53.64,56,100,7.07,overcast clouds
318,Erenhot,CN,43.6475,111.9767,39.87,35,16,21.18,few clouds
319,Pangnirtung,CA,66.1451,-65.7125,-0.83,59,9,6.67,clear sky
320,Saldanha,ZA,-33.0117,17.9442,61.5,79,57,8.55,light rain
321,Westport,US,41.1415,-73.3579,44.74,68,0,6.91,clear sky
322,Mazamari,PE,-11.3258,-74.5308,68.5,99,98,1.21,overcast clouds
323,Williams Lake,CA,52.1415,-122.1445,38.05,82,75,24.16,broken clouds
324,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,24.16,light rain
325,The Pas,CA,53.8251,-101.2541,28.42,86,0,11.5,clear sky
326,Bahia Blanca,AR,-38.7196,-62.2724,72.28,51,0,1.99,clear sky
327,Clyde River,CA,70.4692,-68.5914,-7.37,64,20,8.05,few clouds
328,Atar,MR,20.5169,-13.0499,64.69,15,0,7.31,clear sky
329,Fonte Boa,BR,-2.4959,-66.2662,70.23,97,92,2.51,overcast clouds
330,Itoman,JP,26.1247,127.6694,73.78,86,75,6.91,broken clouds
331,Khonsa,IN,27.0167,95.5667,70.52,45,17,4.0,few clouds
332,Abu Samrah,SY,35.3029,37.1841,56.23,64,51,4.72,broken clouds
333,Dossor,KZ,47.5272,52.9811,38.88,73,0,11.99,clear sky
334,Riyadh,SA,24.6877,46.7219,59.14,32,100,5.77,overcast clouds
335,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,75.92,65,99,7.74,overcast clouds
336,Zemio,CF,5.0314,25.1361,66.85,96,53,1.68,broken clouds
337,San Patricio,US,28.017,-97.5169,68.92,97,96,6.89,overcast clouds
338,Aldan,RU,58.6031,125.3894,-3.89,94,100,1.03,overcast clouds
339,Ust-Tsilma,RU,65.441,52.1498,-2.36,100,96,2.73,overcast clouds
340,Fort-Shevchenko,KZ,44.5086,50.263,47.52,66,7,3.53,clear sky
341,Bartica,GY,6.4,-58.6167,75.52,99,99,1.07,overcast clouds
342,Ancud,CL,-41.8697,-73.8203,48.02,90,30,4.85,scattered clouds
343,Red Wing,US,44.5625,-92.5338,41.65,93,0,5.75,clear sky
344,Provideniya,RU,64.3833,-173.3,19.51,79,100,15.99,snow
345,Moroto,UG,2.5345,34.6666,67.01,68,83,2.55,broken clouds
346,Clonakilty,IE,51.6231,-8.8706,51.01,84,80,30.04,broken clouds
347,Talnakh,RU,69.4865,88.3972,-30.68,96,12,1.83,few clouds
348,Laguna,US,38.421,-121.4238,55.09,70,0,0.0,clear sky
349,Takoradi,GH,4.8845,-1.7554,78.35,83,95,4.68,overcast clouds
350,Umm Kaddadah,SD,13.6017,26.6876,66.85,29,9,13.22,clear sky
351,Devonport,AU,-41.1667,146.35,69.1,53,41,14.38,scattered clouds
352,Petrivka,UA,46.9695,30.9591,50.07,98,100,12.46,light rain
353,Cutro,IT,39.0353,16.9819,53.65,71,23,5.46,few clouds
354,Port Blair,IN,11.6667,92.75,84.24,79,75,10.36,mist
355,Show Low,US,34.2542,-110.0298,36.09,37,0,0.0,clear sky
356,Chakulia,IN,22.4833,86.7167,74.73,36,42,7.23,scattered clouds
357,Yulara,AU,-25.2406,130.9889,78.51,48,79,10.2,broken clouds
358,Peniche,PT,39.3558,-9.3811,64.29,96,100,14.61,overcast clouds
359,Sibiti,CG,-3.6819,13.3499,67.37,98,71,0.2,light rain
360,Amarante Do Maranhao,BR,-5.5667,-46.7422,71.85,93,85,1.57,overcast clouds
361,Scarborough,GB,54.2797,-0.4044,43.66,87,74,11.99,broken clouds
362,Hailar,CN,49.2,119.7,20.19,94,100,9.78,light snow
363,Maningrida,AU,-12.0667,134.2667,92.46,51,44,12.57,scattered clouds
364,Koster,ZA,-25.863,26.8976,65.39,55,43,8.55,scattered clouds
365,Meulaboh,ID,4.1363,96.1285,81.36,74,66,2.95,broken clouds
366,Balakhninskiy,RU,58.0106,114.2769,6.22,94,100,2.77,light snow
367,Morgaushi,RU,55.9643,46.7743,21.36,96,100,7.56,overcast clouds
368,Belaya Gora,RU,68.5333,146.4167,-30.06,99,100,2.59,overcast clouds
369,Chihuahua,MX,28.5,-106.0,54.52,28,86,7.94,overcast clouds
370,Sakakah,SA,29.9697,40.2064,65.77,53,77,3.42,moderate rain
371,Kavieng,PG,-2.5744,150.7967,85.91,60,66,8.12,broken clouds
372,Toyo,PH,10.7333,125.0167,82.74,87,84,8.9,broken clouds
373,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,21.85,few clouds
374,Alyangula,AU,-13.8483,136.4192,88.41,57,13,6.22,moderate rain
375,Nalut,LY,30.3333,10.85,54.41,52,1,7.7,clear sky
376,Cape Canaveral,US,28.4058,-80.6048,72.01,91,0,6.91,clear sky
377,Kitimat,CA,54.0524,-128.6534,35.98,31,100,3.18,heavy intensity rain
378,Mehran,IR,33.1222,46.1646,66.83,34,4,4.05,clear sky
379,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.59,98,80,1.28,broken clouds
380,Saint-Georges,GD,12.0564,-61.7485,74.88,94,75,11.5,light rain
381,Benjamin Constant,BR,-4.3831,-70.0311,75.33,99,100,2.06,overcast clouds
